Gene	NoUVB.1	NoUVB.2	NoUVB.3	UVB-Saline.1	UVB-Saline.2	UVB-Saline.3	UVB-hCOL3A1.1	UVB-hCOL3A1.2	UVB-hCOL3A1.3
ENSMUSG00000000266_Mid2	192	267	323	286	348	214	299	254	189
ENSMUSG00000000275_Trim25	253	437	384	338	623	649	747	615	635
ENSMUSG00000000276_Dgke	49	90	79	78	87	54	87	56	52
ENSMUSG00000000278_Scpep1	146	339	274.98	198	241	226	360.99	367	226
ENSMUSG00000000282_Mnt	199	430	284	275	344	287	331	320	264
ENSMUSG00000000290_Itgb2	162	198	271	159	324	575	483	450	624
ENSMUSG00000000295_Hddc2	28	35.08	25	25	31	21	43	37	26
ENSMUSG00000000296_Tpd52l1	16	9	12	13	10	11	21	19	16
ENSMUSG00000000301_Pemt	6	13	2	3	2	4	5	3	6
ENSMUSG00000000303_Cdh1	1562	2246	2124	1992	2518	1935	2135	2024	1736
ENSMUSG00000000305_Cdh4	105	171	161	77	77	33	115	109	63
ENSMUSG00000000308_Ckmt1	378	571	519	566	681	627	599	538	461
ENSMUSG00000000317_Bcl6b	15	42	30	29	36	43	45	33	34
ENSMUSG00000000318_Clec10a	177.41	286.2	156.16	140.65	301.15	257.19	188.09	206.48	284.01
ENSMUSG00000000320_Alox12	23	45	22	27	60	16	31	27	13
ENSMUSG00000000326_Comt	168.59	302.63	209.33	174.72	296.75	203.47	354.2	368.29	307.49
ENSMUSG00000000339_Rtca	45	41	39	49	83	56	53	49	45
ENSMUSG00000000340_Dbt	70	150	101	93	163	92	156	144	113
ENSMUSG00000000346_Dazap2	307.97	634	500	480	552	449	672	620.83	431.34
ENSMUSG00000000355_Mcts1	23	43	29	39	52	38	58	29	34
ENSMUSG00000000359_Rem1	21	51	38	30	36	24	36	25	33
ENSMUSG00000000365_Rnf17	0	0	0	0	1	0	1	0	1
ENSMUSG00000000374_Trappc10	299	447	425	402	537	377	502	363	369
ENSMUSG00000000378_Ccm2	83	128	125	124	130	139	174	130	143
ENSMUSG00000000381_Wap	0	0	0	0	1	0	0	0	1
ENSMUSG00000000384_Tbrg4	112.18	142	129.14	159.78	187.47	137	137.42	123.5	116.19
ENSMUSG00000000385_Tmprss2	5	12	16	11	36	8	10	18	11
ENSMUSG00000000386_Mx1	7.51	17.75	19.89	26.58	101.92	170.13	86.83	83.05	58.13
ENSMUSG00000000392_Fap	94	182	95	114	115.17	77	234	153	109
ENSMUSG00000000394_Gcg	1	0	0	0	0	0	0	0	1
ENSMUSG00000000399_Ndufa9	45.92	105	72.89	102.93	130.9	85.81	147.47	102.66	85.52
ENSMUSG00000000402_Egfl6	15	13	5	16	11	3	10	12	5
ENSMUSG00000000409_Lck	28	34	39	22	36	81	68	23	53
ENSMUSG00000000411_Tssk3	1	0	1	0	0	1	0	0	0
ENSMUSG00000000416_Cttnbp2	324.86	531.47	463.7	412.56	423.71	109.58	410.6	345.12	251.93
ENSMUSG00000000420_Galnt1	201	363	328.1	261	430.25	403	526.08	379	385.1
ENSMUSG00000000435_Myf5	0	2	0	0	0	0	1	1	0
ENSMUSG00000000439_Mkrn2	114.57	176.39	153.14	182.8	233.13	158.49	220.8	141.89	129.07
ENSMUSG00000000440_Pparg	89	156	138	94	180	74	241	260	147
ENSMUSG00000000441_Raf1	263.22	410.25	385.41	344.02	521.2	361.52	485.34	388.77	357.06
ENSMUSG00000000486_Septin1	25	34	42	27	48	72	72	32	71
ENSMUSG00000000489_Pdgfb	61	119	83	96	131	112	100	88	87
ENSMUSG00000000530_Acvrl1	80	175.45	146	107	151	163	216	187	176
ENSMUSG00000000531_Tamalin	46	103	81	72.87	77	75	88	83	71
ENSMUSG00000000532_Acvr1b	194	296	235	301	352	234	321	238	192
ENSMUSG00000000538_Tom1l2	310.47	564.45	502.24	502.67	717.39	529.35	529.96	421.83	440.35
ENSMUSG00000000544_Gpa33	0	0	2	1	1	0	2	1	0
ENSMUSG00000000552_Zfp385a	266	462	308	299	428	299	420	435	341
ENSMUSG00000000555_Itga5	105	184	191	138	238	244	225	258	241
ENSMUSG00000000560_Gabra2	1	0	1	0	1	0	1	2	0
ENSMUSG00000000561_Wdr77	92.63	134.97	149.2	128	191.32	107.38	171.04	112.8	112.14
ENSMUSG00000000562_Adora3	11.41	15	21	6	21	16	23.24	9.08	25
ENSMUSG00000000563_Atp5pb	241.95	426.01	408.94	357.63	449.21	368.74	558.79	532.75	410.83
ENSMUSG00000000567_Sox9	438	555	447	517	618	248	747	755	469
ENSMUSG00000000568_Hnrnpd	527.81	851.38	687.77	708.21	766.44	662.59	892.33	688.02	616.84
ENSMUSG00000000579_Dynlt1c	21.94	29.48	35.25	33.67	23.36	36.58	29.55	25.48	17.98
ENSMUSG00000000581_C1d	39	59	64	53	72	57	91	62	35
ENSMUSG00000000594_Gm2a	187	417	360	227	400	412	470	464	401
ENSMUSG00000000600_Krit1	265	387	463	391	487	387	612	387	387
ENSMUSG00000000605_Clcn4	159.24	302.89	270.75	263.2	357.79	270.98	342.95	267.9	226.38
ENSMUSG00000000606_Vmn2r88	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617_Grm6	1	0	0	0	0	4	0	0	0
ENSMUSG00000000627_Sema4f	23	23	24	23	27	43	16	18	24
ENSMUSG00000000628_Hk2	278	389	358	286	410	601	437	427	461
ENSMUSG00000000631_Myo18a	1204	1572	1512	1520	1997	1494	1849	1370	1398
ENSMUSG00000000632_Sez6	0	1	1	1	1	0	2	0	0
ENSMUSG00000000673_Haao	11	19	9	3.16	14	16	20	10	8
ENSMUSG00000000682_Cd52	35	57.03	80.07	52.06	84.47	124	115	77	116
ENSMUSG00000000686_Abhd15	17.11	27.84	35.17	25.25	42.74	22.73	30.68	28.98	29.81
ENSMUSG00000000690_Hoxb6	64	90	97	105	120	86	124	100	71
ENSMUSG00000000693_Loxl3	27.45	47.8	35.9	24.39	53.57	53.48	94.61	58.58	52.91
ENSMUSG00000000701_Tcl1b5	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706_Btn1a1	0	3	3	1	1	0	0	1	1
ENSMUSG00000000708_Kat2b	245	366	317.91	316	354	278.93	394.94	312	258
ENSMUSG00000000711_Rab5b	299	555	510	459	628	447.95	589.84	584.91	479
ENSMUSG00000000724_Cryba1	1	1	7	2	3	2	7	5	4
ENSMUSG00000000730_Dnmt3l	2	1	3	6	3	7	3	7	2
ENSMUSG00000000731_Aire	0	2	1	0	2	2	1	1	2
ENSMUSG00000000732_Icosl	78	147	128	92	124	135	145	108	109
ENSMUSG00000000738_Spg7	106	137	137	112	152	104	157	117	90
ENSMUSG00000000739_Sult5a1	65	81	67	45	64	43	60	46	25
ENSMUSG00000000740_Rpl13	923.26	1424.42	1468.41	1327.86	1769.97	1155.89	1702.75	1413.25	1102.02
ENSMUSG00000000743_Chmp1a	158.85	197	187.98	244	261.88	235.95	298.78	224.94	177.76
ENSMUSG00000000751_Rpa1	130	222	162	253	223	210	252	200	172
ENSMUSG00000000753_Serpinf1	307	694	498	290	492	337	719	912	494
ENSMUSG00000000759_Tubgcp3	220	314	285	258	301	278	354	272	265
ENSMUSG00000000766_Oprm1	1	0	1	0	0	2	3	2	4
ENSMUSG00000000776_Polr3d	109	136	135	120	164	124	169	156	141
ENSMUSG00000000782_Tcf7	92	151	150	146	124	142	187	195	139
ENSMUSG00000000787_Ddx3x	1634	2861	2641	2393	2629	2231	2905	2494	2073
ENSMUSG00000000791_Il12rb1	9	3	8	9	4	19.1	9	10	6
ENSMUSG00000000792_Slc5a5	9	5	9	10	11	5	11	5	5
ENSMUSG00000000794_Kcnn3	19	26	17	17	23	18	41	41	48
ENSMUSG00000000804_Usp32	311	521	481	472	566	430	590	440	417
ENSMUSG00000000805_Car4	7	30	6	9	16	24	13	7	29
ENSMUSG00000000811_Txnrd3	36	70	53	54	72	57	72	37	45
ENSMUSG00000000817_Fasl	3	6	3	1	1	11	6	3	12
ENSMUSG00000000823_Zfp512b	300	479	366	368.91	406	313	450	335	317
ENSMUSG00000000826_Dnajc5	378	526	503	447	677	521	663	536	499
ENSMUSG00000000827_Tpd52l2	153	236	221	200	257.68	177	262	201	179
ENSMUSG00000000838_Fmr1	466	1266.07	683.76	496.76	546.76	521.03	809.59	687.25	500.24
ENSMUSG00000000861_Bcl11a	262	451	394	512.88	480.87	278	531.6	375.8	273
ENSMUSG00000000869_Il4	0	1	1	0	2	2	1	0	1
ENSMUSG00000000876_Pxmp4	190	300	299	295.55	381	167	389	443	337
ENSMUSG00000000881_Dlg3	119	187	199	188	216	133	212	205	124
ENSMUSG00000000884_Gnb1l	10.67	17.43	17	12	21.51	14	14	12	20
ENSMUSG00000000889_Dbh	0	0	0	0	0	1	2	0	0
ENSMUSG00000000901_Mmp11	67	206	259.11	140	520	333	352	303	442
ENSMUSG00000000902_Smarcb1	188	345	291	317	329	305	404	304	287
ENSMUSG00000000903_Vpreb3	0	0	0	0	1	0	0	0	0
ENSMUSG00000000915_Hip1r	410.74	553.78	623.72	642.4	686.26	563.05	602.63	479.15	456.55
ENSMUSG00000000916_Nsun5	45.72	50.58	40.58	49.01	79.78	31.16	58.83	56.5	32.25
ENSMUSG00000000934_Top1mt	46.81	68	50.8	60.76	62.96	52.4	75	62	53.72
ENSMUSG00000000938_Hoxa10	16	27	21	17	34	18	35	24	37
ENSMUSG00000000942_Hoxa4	9.08	15.76	11.74	8.3	7	8	22.44	15.47	21.32
ENSMUSG00000000948_Gm38393	2	4	6	9	9.45	5.21	11	7	3
ENSMUSG00000000957_Mmp14	694	1378	1109	817	1451	1082	1728	1586	1289
ENSMUSG00000000958_Slc7a7	20.52	33	26.27	24	40	34.73	52.17	55.09	38.55
ENSMUSG00000000959_Oxa1l	147.48	175	187.73	182	233	188.27	249.83	220.91	181.45
ENSMUSG00000000976_Heatr6	111	176	164	152	215	168	247	172	184
ENSMUSG00000000982_Ccl3	4.29	3.09	6.49	0	3.82	22	21.48	11.88	18.78
ENSMUSG00000000983_Wfdc18	5	12	10	8	3	2	6	8	3
ENSMUSG00000001014_Icam4	0.6	0	0	0	1	2	0	1	0
ENSMUSG00000001016_Ilf2	158.33	287	251.34	312.88	283.85	211.36	353.08	246.89	211.28
ENSMUSG00000001017_Chtop	310.43	480.15	449.83	504.29	577.58	399.43	564.89	469.02	406.77
ENSMUSG00000001018_Snapin	82.67	158	143.66	141.12	168.43	115.82	212.92	162.11	140.98
ENSMUSG00000001020_S100a4	144	275	269.04	154	220	217.24	178.09	158.9	241.41
ENSMUSG00000001021_S100a3	273	497	291.89	618	286	77.08	342.66	358.33	124.81
ENSMUSG00000001023_S100a5	0	0	0	0	0	1	0	0	0
ENSMUSG00000001025_S100a6	250	411	362	391	511	421	574	435	389
ENSMUSG00000001027_Scn4a	37	20	19	11	44	30	56	68	58
ENSMUSG00000001029_Icam2	21	34	18	21	18	30	39	42	23
ENSMUSG00000001034_Mapk7	76	155	148	129	163	135	223	160	142
ENSMUSG00000001036_Epn2	189	355	281	290	369	242	377	267	241
ENSMUSG00000001039_B9d1	10	22	23	25	14	8	27	19	12
ENSMUSG00000001052_Sec24b	432	694	635	558	766	547	847	677	618
ENSMUSG00000001053_N4bp3	108	139	120	158	126	59	128	111	94
ENSMUSG00000001054_Rmnd5b	72	124	94	136	135	75	119	93	78
ENSMUSG00000001056_Nhp2	77	142	103	116	159	82	138	103	72
ENSMUSG00000001062_Vps9d1	80	145	126	99	140	122	147	116	124
ENSMUSG00000001065_Zfp276	131.42	179.26	214.75	184.62	197.97	204.63	207.39	146.48	170.66
ENSMUSG00000001076_C1ql4	0	0	0	0	0	0	0	0	1
ENSMUSG00000001082_Mfsd10	36	58	55	56	72	58	67	64	45
ENSMUSG00000001089_Luzp1	631	982	915	936	1107	769	1236	991	752
ENSMUSG00000001095_Slc13a2	1	0	0	1	0	0	2	2	0
ENSMUSG00000001098_Kctd10	187.7	356.82	355	254.78	366.42	297.94	351	378	357.14
ENSMUSG00000001100_Poldip2	144	175	142	159	174	152	202	180	130
ENSMUSG00000001103_Sebox	8	7	9	9	5	1	9	7	2
ENSMUSG00000001105_Ift20	72	144	131	127	147	76	148	152	91
ENSMUSG00000001119_Col6a1	1227	2470	2688	2074	2757	2937	3419	3975	3189
ENSMUSG00000001120_Pcbp3	24	21	32	33	34	41	32	42	23
ENSMUSG00000001123_Lgals9	95	168	144	130	179	211	303	341	252
ENSMUSG00000001127_Araf	225	365	326	319	441	254	388	308	313
ENSMUSG00000001128_Cfp	57	127	88	65	116	129	306	222	228
ENSMUSG00000001131_Timp1	22	30	28	16	33	32	54	75	47
ENSMUSG00000001134_Uxt	13	22	21	35	18	17	30	27.93	19
ENSMUSG00000001138_Cnnm3	117	182	147	136	199	126	163	159	138
ENSMUSG00000001143_Lman2l	64	107	108	74	116	66	127	97	79
ENSMUSG00000001150_Mcm3ap	187	251	245	245	301.85	268.92	334	238.88	213
ENSMUSG00000001151_Pcnt	456.3	670.79	657.68	597.3	749.9	670.88	785.09	575.92	549
ENSMUSG00000001155_Ftcd	0	1	2	0	0	0	0	2	0
ENSMUSG00000001156_Mxd1	190	303	381	294	341	348	320	334	267
ENSMUSG00000001157_Gmcl1	60	97	118	141.28	100.26	76.31	146.67	93	67.14
ENSMUSG00000001158_Snrnp27	58	93	86	91	111	86	115	110	82
ENSMUSG00000001166_Oas1c	8	11	21	17.83	34.6	24	19.77	19	11
ENSMUSG00000001168_Oas1h	0	0	0	0	3	2	2	0	4
ENSMUSG00000001173_Ocrl	156	307	273	235	367	275	316	283	246
ENSMUSG00000001175_Calm1	891	1567	1433	1498	1724	1406	2099	2005	1344
ENSMUSG00000001211_Agpat3	321	584	503	433	600	319	615	655	412
ENSMUSG00000001225_Slc26a3	0	4	3	8	5	4	9	4	0
ENSMUSG00000001227_Sema6b	41	115	89	60	63	70	87	89	78
ENSMUSG00000001228_Uhrf1	166.95	235.52	203.92	328.84	243	247.95	276.9	273.98	142.73
ENSMUSG00000001229_Dpp9	108	211	172	184	221	191	279	197	217
ENSMUSG00000001240_Ramp2	26	97.79	58.03	58	74.96	52.95	80.1	59	40
ENSMUSG00000001247_Lsr	161.67	251.28	194.31	229.83	232.32	105.71	250.09	186.49	111.03
ENSMUSG00000001248_Gramd1a	220	337.95	400.93	300.79	414.82	419.8	467.96	285.92	380.96
ENSMUSG00000001249_Hpn	8	13	8	9	8	21	28	14	12
ENSMUSG00000001260_Gabrg1	0	0	0	0	0	0	1	0	0
ENSMUSG00000001270_Ckb	74.89	117	108.99	129.91	160	96.75	230.89	167.73	114.07
ENSMUSG00000001280_Sp1	504	947	821	848	1099	710	1121	898	679
ENSMUSG00000001281_Itgb7	49	43	53	40	106	148	128	83	100
ENSMUSG00000001285_Myg1	59.72	89.11	71.67	74.99	84.2	74.95	96.23	87.2	71.6
ENSMUSG00000001288_Rarg	475	798	757	824	1011	687	938	768	626
ENSMUSG00000001289_Pfdn5	265.28	422.89	396.33	305.01	442.71	280.96	453.65	428.67	378.4
ENSMUSG00000001300_Efnb2	443	837	767	880	923	488	1017	779	593
ENSMUSG00000001305_Rrp15	107	150	138	141	123	129	174	119	127
ENSMUSG00000001313_Rnd2	28.11	117.32	76.04	62.07	97.31	54.03	96.59	116.13	85.87
ENSMUSG00000001323_Srr	99.1	149.43	117.26	92.99	139.41	109.8	183.45	158.52	131.94
ENSMUSG00000001333_Sync	9	10.04	11.17	10	23.1	20.02	26.47	27.23	23.07
ENSMUSG00000001334_Fndc5	5	9	6	7	5	3	7	8	12
ENSMUSG00000001348_Acp5	72	127	87	144	201.81	87	163	196	138
ENSMUSG00000001349_Cnn1	11	33	24	23	36	29	32	36	30
ENSMUSG00000001366_Fbxo9	89	132	133	111	148	128	162	100	112
ENSMUSG00000001376_Vps50	107	135	160	137	188	182	213	144	127
ENSMUSG00000001380_Hars1	145.49	237.78	213.29	190.18	234.92	228.44	263.79	215.89	198.74
ENSMUSG00000001383_Zmat2	257	385	339	319	387	345	469	361	327
ENSMUSG00000001403_Ube2c	43.31	66.8	57.07	105.73	88.98	81.13	105.9	106.03	91.54
ENSMUSG00000001415_Smg5	260	398	372	409	438	430	416	321	315
ENSMUSG00000001416_Cct3	253	421	391	430	427	364	516	407	361
ENSMUSG00000001418_Glmp	98.74	158.09	141.85	127.34	207	187.74	208.62	155.39	143.37
ENSMUSG00000001419_Mef2d	428.81	801.81	638.87	576	699.64	560.71	855.2	768.79	656.88
ENSMUSG00000001420_Tmem79	89.26	112.91	120.15	141.66	152	115.26	108.38	94.61	82.63
ENSMUSG00000001424_Snd1	423	621	626	580	734	738	697	643	578
ENSMUSG00000001435_Col18a1	566	786	580	701	771	784	789	889	629
ENSMUSG00000001436_Slc19a1	30	50	45	32	36	29	40	37	34
ENSMUSG00000001440_Kpnb1	739.71	1288.25	1190.01	1247.11	1408.21	1253.37	1663.47	1376.52	1043.68
ENSMUSG00000001441_Npepps	326	543	561	504	659	511	623	410	395
ENSMUSG00000001444_Tbx21	3	3	8	2	1	19	12	10	12
ENSMUSG00000001445_Mrpl10	59	86	96	87.86	108.97	59	104.7	99.7	81.72
ENSMUSG00000001467_Cyp51	250.39	336.38	399	447.93	654	396.89	486.84	341	319
ENSMUSG00000001472_Tcf25	764	1170	1051	986	1371	1002	1257	1010	1082
ENSMUSG00000001473_Tubb6	140	278.2	196	212	251.8	193	309.85	388.86	204
ENSMUSG00000001482_Def8	137	212	185	240	262	178	220	242	183
ENSMUSG00000001493_Meox1	17	37	22	25	38	26	41	39	33
ENSMUSG00000001494_Sost	0	3	1	2	1	0	2	2	0
ENSMUSG00000001496_Nkx2-1	0	0	1	0	0	1	0	0	0
ENSMUSG00000001497_Pax9	1	1	1	0	5	2	0	1	1
ENSMUSG00000001504_Irx2	425	598	566	548	455.79	328.77	529	444	334.78
ENSMUSG00000001506_Col1a1	19709	26211	32934	25683	32310	23755	39974	40355	29831
ENSMUSG00000001507_Itga3	217	306	290	311	349	309	314	291	194
ENSMUSG00000001508_Sgca	5	2	9	1	14	6	8	12	22
ENSMUSG00000001510_Dlx3	767	1318	811	1344	841	221	1040	1008	299
ENSMUSG00000001517_Foxm1	88	139	174	186.89	151	147	189	167	123.71
ENSMUSG00000001518_Itfg2	57	70	88.05	96	97	68	113	82.38	63
ENSMUSG00000001520_Nrip2	25	26	33	23	26	29	37	18.62	16.06
ENSMUSG00000001521_Tulp3	137	241	170	189	220	138	228	201	139
ENSMUSG00000001524_Gtf2h4	17	25	23	33	31	15	25	26	10
ENSMUSG00000001525_Tubb5	1172.47	2049.56	1741	1898.3	1871.6	1587.76	2473.36	2412.55	1555
ENSMUSG00000001542_Ell2	245	454	444	433	510	445	487	438	344
ENSMUSG00000001552_Jup	1732	2601	2251	2485	3540	2353	2834	2378	2006
ENSMUSG00000001555_Fkbp10	44.63	117.39	96.38	70.35	107.71	100.46	146.62	139	125
ENSMUSG00000001558_Klhl10	3	4	2	3	3	1	3	3	4
ENSMUSG00000001566_Mnx1	0	0	0	0	0	0	0	0	0
ENSMUSG00000001569_Nom1	254	300.84	295	284	294	286.91	372	278	302
ENSMUSG00000001576_Ergic1	115	168	154	118	197	142	252	283	208
ENSMUSG00000001583_Tnk1	150.74	198.48	231.93	181.29	229.11	156.91	180.52	138.92	128.59
ENSMUSG00000001588_Acap1	35	39	71	40	68	109	77	39	69
ENSMUSG00000001604_Tcea3	51	61	43	29	54	33	78	65	68
ENSMUSG00000001622_Csn3	6	4	11	4	8	4	5	3	0
ENSMUSG00000001627_Ifrd1	149.97	261.29	303.44	197.83	324.9	265	239.1	222.8	218.02
ENSMUSG00000001630_Stk38l	96.6	165.55	167.39	137.9	197.67	176.74	183.11	126.48	166.42
ENSMUSG00000001632_Brpf1	283.61	368	344.83	363.41	442.23	348.72	496.73	359.56	343.66
ENSMUSG00000001642_Akr1b1	97.4	183.5	138.81	137.62	172.92	165.26	212.73	179.18	144.31
ENSMUSG00000001655_Hoxc13	229	394	271	413	229	61	352	278	135
ENSMUSG00000001656_Hoxc11	1	3	3	3	6	6	13	4	8
ENSMUSG00000001657_Hoxc8	78	188	125	103	121	97	130	155	83
ENSMUSG00000001661_Hoxc6	93	175	147	124	175	121	177	142	122
ENSMUSG00000001663_Gstt1	33	80	49	23	36	40	70	59	45
ENSMUSG00000001665_Gstt3	20	50	33	27	53	36	45	39	38
ENSMUSG00000001666_Ddt	28	46	48	33	40	33	54	64	25
ENSMUSG00000001670_Tat	0	0	0	0	0	0	1	0	0
ENSMUSG00000001672_Marveld3	42	45	45	34	57	42	52	44	21
ENSMUSG00000001674_Ddx18	128.58	187.17	153.67	177.78	192.46	169.6	213.85	168.13	165.14
ENSMUSG00000001687_Ubl3	254	420	379	321	410	315	426	361	296
ENSMUSG00000001700_Gramd2b	86	119	132	126	135	91	126	123	101
ENSMUSG00000001707_Eef1e1	26	45	38	44	33	45	58	28	33
ENSMUSG00000001729_Akt1	382	593	539	535	706	614	716	611	538
ENSMUSG00000001739_Cldn15	9	21	20	3	8	6	14	17	11
ENSMUSG00000001741_Il16	133.9	249.63	258.83	159.63	221.69	216.67	292.56	215.34	199.27
ENSMUSG00000001750_Tcirg1	165	185	236	197	308	419	372	224	345
ENSMUSG00000001751_Naglu	31	69	52	26	41	62	103	74	47
ENSMUSG00000001755_Coasy	60	68	72	74	106	80	95	82	62
ENSMUSG00000001761_Smo	369	586	560	515	520	324	598	588	441
ENSMUSG00000001763_Tspan33	10	14	15	10	31	18	17	10	26
ENSMUSG00000001767_Crnkl1	109	167	163	182	207	164	221	164	142
ENSMUSG00000001768_Rin2	452	830	657	599	884	541	950	763	580
ENSMUSG00000001773_Folh1	4	15	7	2	4	6	2	15	4
ENSMUSG00000001774_Chordc1	135	183	235	206	250	202	299	215	156
ENSMUSG00000001783_Rtcb	250	367	284	314	349	338	393	348	320
ENSMUSG00000001785_Pwp1	78	120	125	105	114	127.76	166	125	125
ENSMUSG00000001786_Fbxo7	87	150.95	118	131.63	159.67	126.19	154.96	89.65	89
ENSMUSG00000001794_Capns1	345	557	458	439	550	449	711	872	529
ENSMUSG00000001802_Lrp3	53	140.02	68.89	62.42	104.89	70.72	130.82	86.91	87.45
ENSMUSG00000001804_Dsg4	472	750	537	700	465	127	567	488	196
ENSMUSG00000001815_Evx2	0	0	0	0	0	0	1	0.57	0
ENSMUSG00000001819_Hoxd13	0	0	0	0	0	1	0	0	1
ENSMUSG00000001823_Hoxd12	0	0	0	0	0	0	0	0	0
ENSMUSG00000001827_Folr1	0	1	0	0	1	2	1	0	3
ENSMUSG00000001829_Clpb	76	134	96	110	166	82	134	121	94.98
ENSMUSG00000001833_Septin7	489.52	866	830.74	838.88	897.95	701	1282.43	926	776.71
ENSMUSG00000001844_Zdhhc4	54	102	87	86	123	87	115	119	87
ENSMUSG00000001847_Rac1	604.76	1167.91	1016.53	885	1252.57	1027.51	1501.99	1243.92	1049.64
ENSMUSG00000001855_Nup214	357.63	509.87	435.47	476.14	586.9	407.89	595.82	504.59	405.87
ENSMUSG00000001864_Aif1l	34	112	80	77	74	44	61	79	70
ENSMUSG00000001865_Cpa3	135	298	277	134	295	212	332	338	356
ENSMUSG00000001870_Ltbp1	369	620	617	386	446	379	558	547	457
ENSMUSG00000001891_Ugp2	111	201	179	129	269	185.98	338	277	208
ENSMUSG00000001901_Kcnh6	0	0	0	0	0	0	0	0	0
ENSMUSG00000001909_Trmt1	131	240	207.42	167.23	224	157	220	194.81	157
ENSMUSG00000001910_Nacc1	350.28	584.4	513.22	488.48	618.23	416.37	662.09	618.6	432.52
ENSMUSG00000001911_Nfix	1746.41	3510.91	2651.91	2445.47	3124.9	1754.18	3470.29	3350.73	2414.81
ENSMUSG00000001918_Slc1a5	330	730	267	203	375	287	449	535	361
ENSMUSG00000001924_Uba1	965	1673	1420	1386	1683	1382	1784	1816	1288
ENSMUSG00000001930_Vwf	399	928	571	570	717	924	675	599	604
ENSMUSG00000001942_Siae	29.18	76.06	55.32	34.17	85.62	39.94	78.36	73.09	61.61
ENSMUSG00000001943_Vsig2	0	10	12	4	8	3	7	0	5
